Draw Number,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Supp 1,Supp 2
4581,1,6,10,17,19,28,14,35
4579,11,13,22,26,30,36,24,45
4577,5,7,9,23,27,45,13,36
4575,5,13,33,35,36,37,10,18
4573,9,19,31,37,40,44,5,11
4571,1,18,25,35,38,45,4,16
4569,16,27,29,30,34,43,2,40
4567,1,7,21,32,38,42,13,24
4565,10,14,19,21,28,44,23,33
4563,3,6,13,17,22,45,29,31
4561,3,10,23,27,42,43,6,18
4559,1,3,17,21,36,41,24,30
4557,11,16,29,34,42,45,14,18
4555,3,13,15,16,27,30,19,33
4553,2,16,18,28,29,38,4,25
4551,3,6,11,12,13,37,2,44
4549,2,5,26,28,31,39,7,8
4547,8,18,19,31,41,43,9,11
4545,6,15,25,35,40,42,20,38
4543,1,7,8,12,18,41,16,32
4541,8,12,15,21,28,34,3,44
4539,7,11,15,19,34,45,32,42
4537,6,8,18,19,29,38,15,45
4535,8,10,19,23,31,33,13,42
4533,4,12,26,29,40,41,31,34
4531,9,18,25,27,38,44,7,23
4529,6,7,11,21,30,35,13,29
4527,1,7,11,13,16,35,5,14
4525,8,13,16,30,39,41,28,38
4523,3,6,17,25,40,42,7,28
4521,5,6,8,29,38,44,1,9
4519,5,6,30,37,39,43,17,45
4517,1,3,6,10,18,42,5,40
4515,1,25,29,35,42,43,19,31
4513,5,15,22,26,33,43,4,11
4511,2,8,10,21,28,45,27,30
4509,13,15,18,24,27,30,26,41
4507,15,19,29,34,37,40,6,44
4505,6,21,24,29,32,42,25,30
4503,6,14,22,32,34,38,19,41
4501,7,13,15,16,20,38,26,41
4499,4,6,15,20,32,39,1,30
4497,5,8,42,43,44,45,24,32
4495,1,3,15,23,25,41,11,45
4493,4,10,37,38,42,45,15,36
4491,10,11,12,13,41,45,28,40
4489,4,11,20,27,37,45,10,15
4487,17,23,25,29,30,31,6,14
4485,1,2,18,21,24,36,14,27
4483,3,4,15,20,26,44,7,35
4481,10,21,24,30,44,45,28,31
4479,2,22,35,37,38,40,9,44
4477,12,23,34,36,38,40,8,30
4475,3,13,14,24,30,32,33,40
4473,5,21,22,28,39,42,13,29
4471,8,10,22,35,36,38,11,23
4469,9,13,20,26,32,43,14,34
4467,17,20,21,31,41,44,18,37
4465,5,12,14,26,29,42,9,41
4463,1,7,20,26,34,39,8,10
4461,6,16,19,25,43,44,4,14
4459,1,3,16,18,19,25,7,33
4457,5,6,14,36,37,45,28,31
4455,9,12,15,42,43,44,18,36
4453,1,12,16,17,19,32,27,34
4451,3,17,28,35,40,44,26,33
4449,2,3,11,17,25,31,15,24
4447,5,8,15,18,19,30,7,26
4445,16,17,26,38,39,42,32,37
4443,7,11,22,25,28,34,32,35
4441,1,2,12,13,20,42,3,15
4439,3,11,19,22,23,29,20,30
4437,5,8,13,24,29,36,15,40
4435,11,22,27,33,35,37,1,8
4433,8,33,37,39,40,41,2,35
4431,12,13,17,34,36,42,38,41
